Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Adventure, Beach, Culture",High,Group,Luxury,Bus,"Unawatuna, Galle, Dickwella, Galle, Dambulla, Trincomalee",Relax at Unawatuna Beach; Explore Dutch Fort in Galle; Visit the Beach; Explore Dutch Fort in Galle; Explore Dambulla Cave Temple; Snorkel at Pigeon Island
Relaxation,Low,Solo,Budget,Bus,"Arugambay, Koggala, Colombo",Surf in Arugambay; Relax at Koggala Beach; Visit a Gangaramaya Temple
Culture,Medium,Family,Budget,Bus,Anuradhapura,Visit ancient stupas in Anuradhapura
"Beach, Culture, Relaxation",Low,Family,Eco-friendly,Bus,"Bentota, Puttalam, Anuradhapura, Sigiriya, Kalutara, Koggala",Jet skiing in Bentota; Birdwatch at Puttalam Lagoon; Visit ancient stupas in Anuradhapura; Visit Sigiriya Rock Fortress; Visit Kalutara Bodhiya; Relax at Koggala Beach
"Beach, Wildlife",Low,Group,Budget,Train,"Puttalam, Minneriya",Birdwatch at Puttalam Lagoon; Visit the elephant gathering in Minneriya
"Relaxation, Adventure, Culture",Low,Group,Eco-friendly,Bus,"Negombo, Kalutara, Mirissa, Colombo, Mihintale, Polonnaruwa",Relax on Negombo Beach; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Visit a Gangaramaya Temple; Climb Mihintale Rock Temple; Explore ancient ruins in Polonnaruwa
"Culture, Wildlife, Beach",High,Family,Eco-friendly,Train,"Polonnaruwa, Trincomalee, Wilpattu, Minneriya, Sinharaja, Hambanthota, Puttalam, Galle",Explore ancient ruins in Polonnaruwa; Snorkel at Pigeon Island; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Explore Bundala National Park; Birdwatch at Puttalam Lagoon; Explore Dutch Fort in Galle
Wildlife,Low,Solo,Budget,Bus,"Udawalawa, Sinharaja",Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
"Wildlife, Culture, Beach",High,Solo,Eco-friendly,Rental Car,"Sinharaja, Wilpattu, Sigiriya, Mihintale, Ratnapura, Dickwella",Trek in Sinharaja Rainforest; Explore Wilpattu National Park; Visit Sigiriya Rock Fortress; Climb Mihintale Rock Temple; Visit gem mines in Ratnapura; Visit the Beach
"Relaxation, Culture, Wildlife",High,Group,Luxury,Train,"Ella, Negombo, Mirissa, Galle, Udawalawa",Hike Ella Rock; Relax on Negombo Beach; Go whale watching in Mirissa; Explore Dutch Fort in Galle; Elephant watching in Udawalawa
"Beach, Wildlife, Adventure",Low,Group,Luxury,Rental Car,"Negombo, Puttalam, Udawalawa, Minneriya, Sinharaja, Ella",Relax on Negombo Beach; Birdwatch at Puttalam Lagoon; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest; Hike Ella Rock
"Beach, Adventure",Low,Solo,Luxury,Rental Car,"Bentota, Mirissa, Mirissa",Jet skiing in Bentota; Go whale watching in Mirissa; Go whale watching in Mirissa
"Wildlife, Adventure, Beach",Low,Group,Budget,Rental Car,"Sinharaja, Udawalawa, Habarana, Sinharaja, Nuwara Eliya, Mirissa, Kalutara, Bentota",Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Safari in Habarana; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Visit Kalutara Bodhiya; Jet skiing in Bentota
"Beach, Relaxation, Wildlife",Low,Family,Budget,Train,"Pasikudah, Bentota, Dickwella, Koggala, Wilpattu, Minneriya, Yala",Enjoy snorkeling in Pasikudah; Jet skiing in Bentota; Visit the Beach; Relax at Koggala Beach; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Safari in Yala National Park
"Adventure, Wildlife, Culture",High,Solo,Eco-friendly,Train,"Mirissa, Hikkaduwa, Arugambay, Minneriya, Jaffna",Go whale watching in Mirissa; Snorkel in Hikkaduwa; Surf in Arugambay; Visit the elephant gathering in Minneriya; Visit Jaffna Fort
"Beach, Relaxation",Low,Solo,Eco-friendly,Train,"Matara, Jaffna, Arugambay, Matara",Visit Parey Dewa in Matara; Visit Jaffna Fort; Surf in Arugambay; Visit Parey Dewa in Matara
"Wildlife, Adventure",High,Solo,Eco-friendly,Train,"Sinharaja, Ella, Hikkaduwa",Trek in Sinharaja Rainforest; Hike Ella Rock; Snorkel in Hikkaduwa
"Adventure, Culture, Wildlife",Medium,Family,Luxury,Bus,"Mirissa, Mihintale, Koggala, Sinharaja, Yala",Go whale watching in Mirissa; Climb Mihintale Rock Temple; Relax at Koggala Beach; Trek in Sinharaja Rainforest; Safari in Yala National Park
Wildlife,High,Solo,Luxury,Bus,"Yala, Udawalawa, Minneriya",Safari in Yala National Park; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya
Beach,Medium,Solo,Eco-friendly,Rental Car,"Hambanthota, Puttalam",Explore Bundala National Park; Birdwatch at Puttalam Lagoon
"Adventure, Culture",High,Solo,Luxury,Rental Car,"Arugambay, Unawatuna, Ella, Kalutara",Surf in Arugambay; Relax at Unawatuna Beach; Hike Ella Rock; Visit Kalutara Bodhiya
"Adventure, Relaxation",High,Family,Luxury,Bus,"Ella, Dambulla, Ella, Kandy",Hike Ella Rock; Explore Dambulla Cave Temple; Hike Ella Rock; Visit the Temple of the Sacred Tooth Relic
"Adventure, Culture",Low,Family,Eco-friendly,Train,"Mirissa, Ella, Ratnapura, Sigiriya, Polonnaruwa",Go whale watching in Mirissa; Hike Ella Rock; Visit gem mines in Ratnapura; Visit Sigiriya Rock Fortress; Explore ancient ruins in Polonnaruwa
Culture,Low,Solo,Eco-friendly,Train,Mihintale,Climb Mihintale Rock Temple
"Adventure, Relaxation, Beach",Low,Family,Budget,Rental Car,"Hikkaduwa, Mirissa, Sinharaja, Weligama, Negombo, Pasikudah, Puttalam",Snorkel in Hikkaduwa; Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Take surfing lessons in Weligama; Relax on Negombo Beach; Enjoy snorkeling in Pasikudah; Birdwatch at Puttalam Lagoon
"Relaxation, Wildlife",Low,Group,Luxury,Train,"Unawatuna, Ella, Dambulla, Habarana, Minneriya",Relax at Unawatuna Beach; Hike Ella Rock; Explore Dambulla Cave Temple; Safari in Habarana; Visit the elephant gathering in Minneriya
"Adventure, Wildlife",Low,Group,Luxury,Rental Car,"Nuwara Eliya, Unawatuna, Sinharaja",Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest
Adventure,Medium,Family,Luxury,Train,"Mirissa, Ella",Go whale watching in Mirissa; Hike Ella Rock
Wildlife,High,Group,Luxury,Train,"Wilpattu, Sinharaja",Explore Wilpattu National Park; Trek in Sinharaja Rainforest
"Adventure, Culture, Relaxation",High,Group,Luxury,Bus,"Sinharaja, Dambulla, Galle, Mihintale, Negombo",Trek in Sinharaja Rainforest; Explore Dambulla Cave Temple; Explore Dutch Fort in Galle; Climb Mihintale Rock Temple; Relax on Negombo Beach
Adventure,Medium,Group,Luxury,Train,"Mirissa, Ella, Hikkaduwa",Go whale watching in Mirissa; Hike Ella Rock; Snorkel in Hikkaduwa
Relaxation,Medium,Solo,Budget,Rental Car,"Colombo, Hatton",Visit a Gangaramaya Temple; Hike Adam’s Peak
Culture,Medium,Solo,Budget,Bus,"Polonnaruwa, Galle",Explore ancient ruins in Polonnaruwa; Explore Dutch Fort in Galle
"Adventure, Wildlife",Low,Group,Eco-friendly,Rental Car,"Hikkaduwa, Unawatuna, Sinharaja, Udawalawa",Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Elephant watching in Udawalawa
Culture,Medium,Group,Budget,Train,"Colombo, Dambulla, Mihintale",Visit a Gangaramaya Temple; Explore Dambulla Cave Temple; Climb Mihintale Rock Temple
"Adventure, Relaxation",Low,Family,Luxury,Bus,"Ella, Matara",Hike Ella Rock; Visit Parey Dewa in Matara
Culture,High,Family,Eco-friendly,Train,Galle,Explore Dutch Fort in Galle
"Culture, Adventure",High,Family,Eco-friendly,Bus,"Anuradhapura, Colombo, Sigiriya, Hikkaduwa",Visit ancient stupas in Anuradhapura; Visit a Gangaramaya Temple; Visit Sigiriya Rock Fortress; Snorkel in Hikkaduwa
"Beach, Relaxation, Wildlife",High,Family,Luxury,Train,"Tangalle, Hikkaduwa, Unawatuna, Dambulla, Habarana",Relax at Tangalle Beach; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Explore Dambulla Cave Temple; Safari in Habarana
"Adventure, Culture, Beach",Low,Family,Luxury,Train,"Ella, Galle, Hikkaduwa, Bentota, Unawatuna",Hike Ella Rock; Explore Dutch Fort in Galle; Snorkel in Hikkaduwa; Jet skiing in Bentota; Relax at Unawatuna Beach
"Culture, Relaxation, Wildlife",Medium,Group,Luxury,Bus,"Polonnaruwa, Colombo, Kandy, Hambanthota, Yala, Sinharaja",Explore ancient ruins in Polonnaruwa; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic; Explore Bundala National Park; Safari in Yala National Park; Trek in Sinharaja Rainforest
Relaxation,Medium,Solo,Eco-friendly,Train,"Arugambay, Matara, Koggala",Surf in Arugambay; Visit Parey Dewa in Matara; Relax at Koggala Beach
"Adventure, Beach, Relaxation",High,Solo,Luxury,Bus,"Ella, Hikkaduwa, Mirissa, Hikkaduwa, Kalutara, Dambulla, Hatton, Kalutara",Hike Ella Rock; Snorkel in Hikkaduwa; Go whale watching in Mirissa; Snorkel in Hikkaduwa; Visit Kalutara Bodhiya; Explore Dambulla Cave Temple; Hike Adam’s Peak; Visit Kalutara Bodhiya
"Relaxation, Culture, Beach",Medium,Family,Luxury,Rental Car,"Unawatuna, Galle, Mihintale, Jaffna, Pasikudah",Relax at Unawatuna Beach; Explore Dutch Fort in Galle; Climb Mihintale Rock Temple; Visit Jaffna Fort; Enjoy snorkeling in Pasikudah
"Relaxation, Wildlife, Beach",High,Solo,Eco-friendly,Bus,"Dambulla, Wilpattu, Sinharaja, Matara",Explore Dambulla Cave Temple; Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Visit Parey Dewa in Matara
"Relaxation, Beach, Adventure",Medium,Solo,Luxury,Rental Car,"Kandy, Ella, Kalutara, Arugambay, Galle, Mirissa, Sinharaja, Nuwara Eliya",Visit the Temple of the Sacred Tooth Relic; Hike Ella Rock; Visit Kalutara Bodhiya; Surf in Arugambay; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya
"Relaxation, Culture",High,Solo,Budget,Rental Car,"Hatton, Sigiriya, Dambulla, Galle",Hike Adama's Peak; Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple; Explore Dutch Fort in Galle
Adventure,High,Family,Luxury,Train,Sinharaja,Trek in Sinharaja Rainforest
Culture,High,Group,Budget,Train,"Sigiriya, Dambulla",Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple
"Relaxation, Beach",Low,Solo,Eco-friendly,Rental Car,"Hatton, Puttalam",Hike Adama's Peak; Birdwatch at Puttalam Lagoon
Culture,Medium,Group,Eco-friendly,Train,Dambulla,Explore Dambulla Cave Temple
"Wildlife, Culture, Adventure",Low,Group,Budget,Bus,"Habarana, Udawalawa, Minneriya, Koggala, Sigiriya, Nuwara Eliya, Arugambay, Mirissa",Safari in Habarana; Elephant watching in Udawalawa; Visit the elephant gathering in Minneriya; Relax at Koggala Beach; Visit Sigiriya Rock Fortress; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Go whale watching in Mirissa
"Adventure, Wildlife",Low,Family,Eco-friendly,Bus,"Hikkaduwa, Habarana, Minneriya",Snorkel in Hikkaduwa; Safari in Habarana; Visit the elephant gathering in Minneriya
"Beach, Adventure",Low,Family,Eco-friendly,Bus,"Tangalle, Hikkaduwa, Arugambay, Nuwara Eliya",Relax at Tangalle Beach; Snorkel in Hikkaduwa; Surf in Arugambay; Tour tea plantations in Nuwara Eliya
Adventure,Medium,Solo,Luxury,Rental Car,"Ella, Nuwara Eliya, Unawatuna",Hike Ella Rock; Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach
"Adventure, Wildlife, Relaxation",Low,Family,Eco-friendly,Train,"Hikkaduwa, Sinharaja, Koggala, Galle, Mirissa",Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest; Relax at Koggala Beach; Explore Dutch Fort in Galle; Go whale watching in Mirissa
Beach,Medium,Family,Luxury,Bus,"Puttalam, Hambanthota, Mirissa",Birdwatch at Puttalam Lagoon; Explore Bundala National Park; Go whale watching in Mirissa
"Beach, Adventure, Culture",Low,Group,Luxury,Bus,"Jaffna, Arugambay, Unawatuna, Trincomalee, Kandy",Visit Jaffna Fort; Surf in Arugambay; Relax at Unawatuna Beach; Snorkel at Pigeon Island; Visit the Temple of the Sacred Tooth Relic
"Culture, Relaxation, Adventure",Medium,Group,Budget,Train,"Dambulla, Trincomalee, Ella, Colombo, Hikkaduwa, Unawatuna, Nuwara Eliya",Explore Dambulla Cave Temple; Snorkel at Pigeon Island; Hike Ella Rock; Visit a Gangaramaya Temple; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya
Adventure,High,Group,Eco-friendly,Bus,"Unawatuna, Ella",Relax at Unawatuna Beach; Hike Ella Rock
"Beach, Culture, Wildlife",Medium,Group,Budget,Rental Car,"Unawatuna, Jaffna, Kalutara, Habarana, Udawalawa, Sinharaja",Relax at Unawatuna Beach; Visit Jaffna Fort; Visit Kalutara Bodhiya; Safari in Habarana; Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
"Culture, Relaxation",High,Group,Luxury,Train,"Anuradhapura, Galle, Polonnaruwa, Koggala",Visit ancient stupas in Anuradhapura; Explore Dutch Fort in Galle; Explore ancient ruins in Polonnaruwa; Relax at Koggala Beach
Relaxation,Medium,Solo,Luxury,Rental Car,"Mirissa, Ella",Go whale watching in Mirissa; Hike Ella Rock
"Beach, Relaxation",Low,Family,Eco-friendly,Train,"Arugambay, Unawatuna, Hikkaduwa, Colombo, Nuwara Eliya",Surf in Arugambay; Relax at Unawatuna Beach; Snorkel in Hikkaduwa; Visit a Gangaramaya Temple; Tour tea plantations in Nuwara Eliya
"Culture, Beach",High,Group,Luxury,Bus,"Galle, Dickwella, Jaffna",Explore Dutch Fort in Galle; Visit the Beach; Visit Jaffna Fort
"Beach, Wildlife",High,Solo,Luxury,Rental Car,"Galle, Negombo, Yala",Explore Dutch Fort in Galle; Relax on Negombo Beach; Safari in Yala National Park
"Relaxation, Wildlife, Adventure",Low,Group,Budget,Rental Car,"Colombo, Dambulla, Minneriya, Udawalawa, Unawatuna, Nuwara Eliya, Hikkaduwa",Visit a Gangaramaya Temple; Explore Dambulla Cave Temple; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa
"Beach, Relaxation, Culture",Medium,Family,Budget,Bus,"Tangalle, Pasikudah, Negombo, Galle, Ella, Galle",Relax at Tangalle Beach; Enjoy snorkeling in Pasikudah; Relax on Negombo Beach; Explore Dutch Fort in Galle; Hike Ella Rock; Explore Dutch Fort in Galle
"Beach, Culture",Medium,Group,Luxury,Bus,"Arugambay, Sigiriya, Colombo, Kandy",Surf in Arugambay; Visit Sigiriya Rock Fortress; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic
"Culture, Relaxation",Low,Solo,Eco-friendly,Bus,"Sigiriya, Dambulla, Kandy, Negombo, Weligama",Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple; Visit the Temple of the Sacred Tooth Relic; Relax on Negombo Beach; Take surfing lessons in Weligama
"Beach, Adventure, Culture",High,Group,Budget,Train,"Tangalle, Nuwara Eliya, Colombo, Anuradhapura",Relax at Tangalle Beach; Tour tea plantations in Nuwara Eliya; Visit a Gangaramaya Temple; Visit ancient stupas in Anuradhapura
Wildlife,Low,Family,Eco-friendly,Rental Car,"Wilpattu, Udawalawa",Explore Wilpattu National Park; Elephant watching in Udawalawa
Relaxation,High,Family,Eco-friendly,Rental Car,"Negombo, Mirissa",Relax on Negombo Beach; Go whale watching in Mirissa
"Culture, Beach, Relaxation",Medium,Solo,Luxury,Bus,"Mihintale, Trincomalee, Kalutara, Mirissa, Hatton, Arugambay, Kalutara",Climb Mihintale Rock Temple; Snorkel at Pigeon Island; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Hike Adam’s Peak; Surf in Arugambay; Visit Kalutara Bodhiya
"Culture, Relaxation",Medium,Family,Luxury,Rental Car,"Kalutara, Koggala",Visit Kalutara Bodhiya; Relax at Koggala Beach
"Beach, Culture",Low,Group,Budget,Bus,"Mirissa, Kandy",Go whale watching in Mirissa; Visit the Temple of the Sacred Tooth Relic
"Beach, Culture, Adventure",Low,Solo,Budget,Bus,"Pasikudah, Dickwella, Tangalle, Anuradhapura, Colombo, Sinharaja",Enjoy snorkeling in Pasikudah; Visit the Beach; Relax at Tangalle Beach; Visit ancient stupas in Anuradhapura; Visit a Gangaramaya Temple; Trek in Sinharaja Rainforest
Adventure,High,Group,Luxury,Rental Car,"Hikkaduwa, Unawatuna",Snorkel in Hikkaduwa; Relax at Unawatuna Beach
"Beach, Wildlife, Relaxation",High,Solo,Eco-friendly,Bus,"Hambanthota, Puttalam, Galle, Minneriya, Matara",Explore Bundala National Park; Birdwatch at Puttalam Lagoon; Explore Dutch Fort in Galle; Visit the elephant gathering in Minneriya; Visit Parey Dewa in Matara
"Culture, Adventure",Low,Group,Luxury,Train,"Kandy, Hikkaduwa",Visit the Temple of the Sacred Tooth Relic; Snorkel in Hikkaduwa
Adventure,High,Family,Eco-friendly,Bus,"Sinharaja, Nuwara Eliya",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya
Wildlife,Low,Solo,Eco-friendly,Train,Yala,Safari in Yala National Park
Wildlife,Low,Family,Eco-friendly,Bus,"Udawalawa, Sinharaja",Elephant watching in Udawalawa; Trek in Sinharaja Rainforest
"Beach, Adventure, Wildlife",Low,Group,Eco-friendly,Bus,"Jaffna, Unawatuna, Wilpattu, Minneriya",Visit Jaffna Fort; Relax at Unawatuna Beach; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya
"Beach, Wildlife, Adventure",Medium,Group,Eco-friendly,Bus,"Galle, Sinharaja, Ella",Explore Dutch Fort in Galle; Trek in Sinharaja Rainforest; Hike Ella Rock
Culture,Low,Solo,Eco-friendly,Rental Car,Koggala,Relax at Koggala Beach
"Beach, Wildlife",High,Group,Budget,Rental Car,"Hikkaduwa, Mirissa, Unawatuna, Sinharaja, Habarana, Minneriya",Snorkel in Hikkaduwa; Go whale watching in Mirissa; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Safari in Habarana; Visit the elephant gathering in Minneriya
"Culture, Adventure",Medium,Group,Eco-friendly,Rental Car,"Sigiriya, Dambulla, Jaffna, Sinharaja, Mirissa, Nuwara Eliya",Visit Sigiriya Rock Fortress; Explore Dambulla Cave Temple; Visit Jaffna Fort; Trek in Sinharaja Rainforest; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya
Wildlife,High,Solo,Eco-friendly,Rental Car,"Udawalawa, Wilpattu",Elephant watching in Udawalawa; Explore Wilpattu National Park
Relaxation,Low,Family,Luxury,Train,Colombo,Visit a Gangaramaya Temple
"Beach, Culture",Medium,Group,Budget,Train,"Mirissa, Sigiriya",Go whale watching in Mirissa; Visit Sigiriya Rock Fortress
"Beach, Culture, Wildlife",Medium,Group,Budget,Rental Car,"Negombo, Bentota, Polonnaruwa, Colombo, Sinharaja, Yala",Relax on Negombo Beach; Jet skiing in Bentota; Explore ancient ruins in Polonnaruwa; Visit a Gangaramaya Temple; Trek in Sinharaja Rainforest; Safari in Yala National Park
"Wildlife, Beach",Medium,Family,Budget,Train,"Yala, Dickwella, Puttalam, Hikkaduwa",Safari in Yala National Park; Visit the Beach; Birdwatch at Puttalam Lagoon; Snorkel in Hikkaduwa
"Relaxation, Wildlife",Low,Solo,Budget,Bus,"Negombo, Unawatuna, Habarana",Relax on Negombo Beach; Relax at Unawatuna Beach; Safari in Habarana
"Wildlife, Relaxation",Low,Solo,Luxury,Train,"Minneriya, Udawalawa, Galle, Kandy, Hatton",Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Explore Dutch Fort in Galle; Visit the Temple of the Sacred Tooth Relic; Hike Adam’s Peak
"Wildlife, Relaxation",Low,Solo,Eco-friendly,Bus,"Sinharaja, Minneriya, Matara, Mirissa, Hatton",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Visit Parey Dewa in Matara; Go whale watching in Mirissa; Hike Adam’s Peak
"Culture, Adventure",Low,Family,Luxury,Train,"Ratnapura, Ella, Unawatuna, Hikkaduwa",Visit gem mines in Ratnapura; Hike Ella Rock; Relax at Unawatuna Beach; Snorkel in Hikkaduwa
Relaxation,High,Group,Budget,Train,"Negombo, Colombo",Relax on Negombo Beach; Visit a Gangaramaya Temple
Culture,Low,Solo,Budget,Rental Car,"Trincomalee, Mihintale",Snorkel at Pigeon Island; Climb Mihintale Rock Temple
"Wildlife, Adventure",Low,Group,Eco-friendly,Rental Car,"Minneriya, Udawalawa, Unawatuna, Sinharaja",Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest
Culture,Low,Group,Budget,Train,"Dambulla, Mihintale, Galle",Explore Dambulla Cave Temple; Climb Mihintale Rock Temple; Explore Dutch Fort in Galle
Adventure,Low,Solo,Budget,Bus,Mirissa,Go whale watching in Mirissa
"Beach, Adventure, Relaxation",High,Family,Budget,Rental Car,"Jaffna, Hikkaduwa, Unawatuna, Negombo",Visit Jaffna Fort; Snorkel in Hikkaduwa; Relax at Unawatuna Beach; Relax on Negombo Beach
